director,peso_diretor
Andy Abrahams Wilson,8.3
Andy Anderson,6.2
Andy Bausch,7.1
Andy Cadiff,5.7
Andy Capper,6.2
Andy Cheng,4.5
Andy De Emmony,6.9
Andy Fetscher,5.2
Andy Fickman,5.8
Andy Garcia,6.7
Andy Goddard,5.8
Andy Humphries,4.6
Andy Hurst,3.8
Andy Landen,6.6
Andy Mikita,6.9
Andy Milligan,3.6
Andy Orjuela,5.1
Andy Palmer,4.4
Andy Sidaris,4.2
Andy Tennant,6.1
Andy Warhol,4.9
Andy Wilson,5.6
Andy Wolk,6.1
Anees Bazmee,5.6
Aneta Kopacz,6.7
Ang Lee,7.3
Angad Bhalla,6.1
Angel Gracia,5.5
Angela Bassett,5.3
Angela Bettis,5.6
Angela Ismailos,6.5
Angela Pope,6.9
Angela Robinson,5.0
Angela Sun,7.4
Angela Tucker,6.1
Angelina Jolie,5.8
Angelina Maccarone,6.6
Angelo Cianci,6.2
Angelo Colagrossi,4.7
Angelo Guglielmo,6.8
Angelo Longoni,6.9
Angelo Pizzo,
Angus MacLachlan,5.2
Angus MacLane,7.5
Anil Mehta,6.4
Anil Sharma,6.1
Anita Doron,6.1
Anita Rosenberg,4.6
Anja Jacobs,6.2
Anja Marquardt,5.2
Anjali Menon,8.3
Anjelica Huston,7.0
Ann Hu,7.3
Ann Hui,7.4
Ann Marie Fleming,
Ann Turner,5.8
Anna Axster,5.4
Anna Biller,5.7
Anna Broinowski,7.0
Anna Brownfield,3.2
Anna Campion,4.6
Anna Chi,6.0
Anna Elizabeth James,
Anna Foerster,
Anna Frances Ewert,7.0
Anna Justice,7.2
Anna Kadykova,
Anna Maria Tat�,7.8
Anna Martemucci,5.8
Anna Mastro,5.3
Anna Matison,6.2
Anna Melikyan,6.9
Anna Muylaert,7.5
Anna Odell,7.0
Anna Reeves,6.7
Anna Rodzinski,6.8
Anna Rose Holmer,
Anna Zielinski,5.9
Annabel Jankel,6.6
Anne Bancroft,6.1
Anne De Salvo,4.8
Anne Fletcher,6.0
Anne Flournoy,7.4
Anne Fontaine,6.4
Anne Goursaud,3.5
Anne Gyrithe Bonne,6.7
Anne Hamilton,
